group,rabdru.1,rabdru.7,rabdru.13
1,6,-888,0
1,7,0,0
1,6,2,0
1,4,0,-888
1,10,0,0
1,1,0,-888
1,20,0,2
1,14,0,0
1,2,-888,0
1,5,0,0
1,9,7,7
1,5,3,0
1,12,-888,0
1,15,0,0
1,8,0,0
1,3,0,0
1,1,1,0
1,19,0,-888
1,21,0,0
1,1,1,0
1,1,0,1
1,2,0,0
1,2,0,0
2,14,0,-888
2,8,0,0
2,5,0,0
2,2,0,1
2,6,-888,0
2,16,0,0
2,1,5,0
3,12,0,0
3,4,0,2
3,16,0,0
3,8,0,0
3,12,-888,-888
3,15,0,0
3,17,6,0
3,10,0,0
3,12,0,0
3,7,0,0
3,13,-888,1
3,7,0,0
3,3,0,0
3,1,0,0
3,2,0,0
3,9,0,0
3,13,0,0
3,13,2,0
3,16,0,0
3,13,0,0
3,3,1,1
3,9,1,0
3,8,0,0
3,3,0,0
3,9,1,0
3,14,0,0
3,9,0,0
3,10,0,0
4,14,0,0
4,8,0,0
4,4,0,0
4,1,0,0
4,2,0,-888
4,2,0,0
4,3,2,0
4,1,-888,0
4,9,-888,0
4,2,0,1
4,12,4,0
4,10,0,1
4,4,0,0
4,6,7,1
4,8,0,0
4,9,0,0
